id,year,month,city,category,amount,quantity,extra_col_0,extra_col_1,extra_col_2,extra_col_3,extra_col_4,extra_col_5,extra_col_6,extra_col_7,extra_col_8,extra_col_9,extra_col_10,extra_col_11,extra_col_12,extra_col_13
656250,2023,7,HCM,cat_0,567.8781376972278,50,3151.1807848214125,2614.3667516704695,8815.100248933051,3573.8199377751635,8954.319789431987,9661.34832514974,8143.394637152861,1399.1003582330563,57.51541436605167,4030.9826256563497,7278.746204135872,2799.0813097087507,8120.925609070848,2958.2798826654066
656251,2024,8,HN,cat_1,144.42177398878553,51,8825.598133358566,1185.2290901411623,9535.765111272327,284.07410635420626,9276.276464475848,7701.808491567186,57.36479244757287,6250.189008074756,9654.835650219373,2322.63951053025,9551.321432228398,9858.755046510023,9623.438690080371,2705.878295991335
656252,2025,9,DN,cat_2,709.7484749504353,52,7463.689469614986,874.277680722536,3641.750939981283,4802.222712390798,8286.793575610394,9096.7273988748,805.1505725237895,2083.09320007799,2697.2456135567913,9901.03562127171,8557.761706915682,2490.496914252148,9845.227789415245,7204.617779106053
656253,2023,10,CT,cat_3,97.15186829671075,53,4027.393210269452,1509.3845728954825,5708.788545622484,1854.8769753114802,9319.69536229838,9483.481620998935,1955.1803886089147,8016.198226086611,3783.4792389672443,4300.164343672151,3250.6155555326623,6721.303434613359,489.4441727047116,2608.8559992344663
656254,2024,11,HP,cat_4,981.2185084543913,54,7233.718065076542,5623.211102730704,997.1748935344782,6067.383811063674,9732.760741172016,4019.068356475466,402.1469142005607,9881.111272370405,1322.9629887868123,8416.276222400273,7522.84503965818,9574.37624052791,4121.027589802892,989.0613940051019
656255,2025,12,HCM,cat_5,692.1442200292398,55,9239.05141719651,6604.221415696028,4012.2468668680144,8521.084639944273,236.1026579473191,2102.2933798050035,1008.8845755763076,6013.138202515404,835.7371661508262,4272.526472166193,538.6602729866463,4885.1895497376,2078.617851178373,5697.196312922109
656256,2023,1,HN,cat_6,387.17253671100417,56,2522.8323598046077,1123.0182665979394,718.9555229547495,4909.546091291033,9453.09663572349,8068.888579745028,9683.394582260877,1973.635827657928,5296.216536758898,9660.353494505873,520.019347351427,142.4314230066148,8735.38567432093,1649.0036670831732
656257,2024,2,DN,cat_7,428.4385933225188,57,1706.9603203623585,2547.3533694173857,8009.899642332676,7413.385693953926,605.7472097898952,1662.7154593936277,2031.9091467906114,5492.149964098173,9553.548076000388,9897.449884793019,4323.177101739269,3507.2775417304724,3862.849668893844,3282.706202641018
656258,2025,3,CT,cat_8,804.0761370972538,58,8456.835075820489,8060.555896350251,6963.66534113757,7807.822541307249,4046.091089619146,2278.100178207284,5404.79665148862,9052.72744455594,1698.0377120266621,7687.676663274236,4871.487182571105,6598.037665833085,6209.2539051153335,2904.8608166547197
656259,2023,4,HP,cat_9,28.34036684941732,59,676.8912468194743,1644.1206735818303,4590.257193674165,8360.094894491824,3257.151499289808,425.4700405659073,6203.266550214908,1438.9946373314044,7283.219279684394,4679.7025309464225,7910.217696230163,1654.3282799248982,6575.3511766709125,4118.686838349377
