id,year,month,city,user_id,amount,category
1625000,2025,9,HCM,1625000,97.89105374156681,cat_0
1625001,2023,10,HCM,1625001,407.0375219625505,cat_1
1625002,2024,11,HN,1625002,644.292735624778,cat_2
1625003,2025,12,DN,1625003,293.2679175631171,cat_3
1625004,2023,1,HCM,1625004,647.8733541960646,cat_4
1625005,2024,2,HCM,1625005,805.2199694300105,cat_5
1625006,2025,3,HN,1625006,71.92088241388083,cat_6
1625007,2023,4,CT,1625007,467.765484831986,cat_7
1625008,2024,5,HCM,1625008,955.6967322756989,cat_8
1625009,2025,6,HCM,1625009,964.0878057393959,cat_9
1625010,2023,7,HN,1625010,943.6138123765892,cat_10
1625011,2024,8,DN,1625011,550.6015904843237,cat_11
1625012,2025,9,HCM,1625012,441.0315750205137,cat_12
1625013,2023,10,HCM,1625013,116.68728943598572,cat_13
1625014,2024,11,HN,1625014,284.61296287314485,cat_14
1625015,2025,12,CT,1625015,775.0661327930766,cat_15
1625016,2023,1,HCM,1625016,221.2828703613624,cat_16
1625017,2024,2,HCM,1625017,801.9647019777019,cat_17
1625018,2025,3,HN,1625018,450.398209860013,cat_18
1625019,2023,4,DN,1625019,585.0195015292632,cat_19
1625020,2024,5,HCM,1625020,190.81132964429725,cat_0
1625021,2025,6,HCM,1625021,265.23410793931765,cat_1
1625022,2023,7,HN,1625022,621.8901941039752,cat_2
1625023,2024,8,CT,1625023,364.8600793996586,cat_3
1625024,2025,9,HCM,1625024,617.3981689471976,cat_4
1625025,2023,10,HCM,1625025,886.5647465238767,cat_5
1625026,2024,11,HN,1625026,21.20572773831031,cat_6
1625027,2025,12,DN,1625027,852.6148582931555,cat_7
1625028,2023,1,HCM,1625028,664.4147294771919,cat_8
1625029,2024,2,HCM,1625029,479.67019698746884,cat_9
1625030,2025,3,HN,1625030,224.37881790444047,cat_10
1625031,2023,4,CT,1625031,599.7026876757438,cat_11
1625032,2024,5,HCM,1625032,683.3292857191349,cat_12
1625033,2025,6,HCM,1625033,822.3938221033403,cat_13
1625034,2023,7,HN,1625034,572.0741274149105,cat_14
1625035,2024,8,DN,1625035,977.3946284203437,cat_15
1625036,2025,9,HCM,1625036,476.3092144553875,cat_16
1625037,2023,10,HCM,1625037,767.4265138597107,cat_17
1625038,2024,11,HN,1625038,177.0634121893293,cat_18
1625039,2025,12,CT,1625039,537.9917103087706,cat_19
1625040,2023,1,HCM,1625040,372.6237329655871,cat_0
1625041,2024,2,HCM,1625041,824.3176075728707,cat_1
1625042,2025,3,HN,1625042,88.88251260448044,cat_2
1625043,2023,4,DN,1625043,675.0800877785889,cat_3
1625044,2024,5,HCM,1625044,32.81261937510671,cat_4
1625045,2025,6,HCM,1625045,211.379280909864,cat_5
1625046,2023,7,HN,1625046,720.6031627210667,cat_6
1625047,2024,8,CT,1625047,568.30105689363,cat_7
1625048,2025,9,HCM,1625048,990.2409871918322,cat_8
1625049,2023,10,HCM,1625049,158.15927265056519,cat_9
1625050,2024,11,HN,1625050,379.9217650134642,cat_10
1625051,2025,12,DN,1625051,119.15469183228977,cat_11
1625052,2023,1,HCM,1625052,592.0093799567993,cat_12
1625053,2024,2,HCM,1625053,846.8765122335208,cat_13
1625054,2025,3,HN,1625054,356.9351659548917,cat_14
1625055,2023,4,CT,1625055,199.57693687343624,cat_15
1625056,2024,5,HCM,1625056,687.0696253307788,cat_16
1625057,2025,6,HCM,1625057,634.8529553363229,cat_17
1625058,2023,7,HN,1625058,297.85899494332415,cat_18
1625059,2024,8,DN,1625059,80.3021036444117,cat_19
1625060,2025,9,HCM,1625060,807.211209574724,cat_0
1625061,2023,10,HCM,1625061,922.2382527836919,cat_1
1625062,2024,11,HN,1625062,786.1300766958921,cat_2
1625063,2025,12,CT,1625063,716.6335871188746,cat_3
1625064,2023,1,HCM,1625064,603.6634609486191,cat_4
1625065,2024,2,HCM,1625065,899.8434640391886,cat_5
1625066,2025,3,HN,1625066,624.3623568191364,cat_6
1625067,2023,4,DN,1625067,756.5487298139396,cat_7
1625068,2024,5,HCM,1625068,277.5589751149965,cat_8
1625069,2025,6,HCM,1625069,256.6125045751684,cat_9
1625070,2023,7,HN,1625070,715.6156527670402,cat_10
1625071,2024,8,CT,1625071,971.1091932908097,cat_11
1625072,2025,9,HCM,1625072,616.8873389304457,cat_12
1625073,2023,10,HCM,1625073,485.72011194692476,cat_13
1625074,2024,11,HN,1625074,777.0984218072822,cat_14
1625075,2025,12,DN,1625075,248.7701327780383,cat_15
1625076,2023,1,HCM,1625076,744.6312587279521,cat_16
1625077,2024,2,HCM,1625077,340.79345008740756,cat_17
1625078,2025,3,HN,1625078,326.4860190462063,cat_18
1625079,2023,4,CT,1625079,706.8021369467203,cat_19
1625080,2024,5,HCM,1625080,581.3429506713044,cat_0
1625081,2025,6,HCM,1625081,348.86886957986695,cat_1
1625082,2023,7,HN,1625082,157.6203005465796,cat_2
1625083,2024,8,DN,1625083,361.06191705433054,cat_3
1625084,2025,9,HCM,1625084,38.83170580876172,cat_4
1625085,2023,10,HCM,1625085,672.3422534945972,cat_5
1625086,2024,11,HN,1625086,13.11735373501799,cat_6
1625087,2025,12,CT,1625087,17.031325595595614,cat_7
1625088,2023,1,HCM,1625088,825.7700657680942,cat_8
1625089,2024,2,HCM,1625089,142.5147740650141,cat_9
1625090,2025,3,HN,1625090,305.265363075961,cat_10
1625091,2023,4,DN,1625091,660.1694150688263,cat_11
1625092,2024,5,HCM,1625092,965.1009759202608,cat_12
1625093,2025,6,HCM,1625093,926.2028856152086,cat_13
1625094,2023,7,HN,1625094,386.84046639813016,cat_14
1625095,2024,8,CT,1625095,996.7626968951203,cat_15
1625096,2025,9,HCM,1625096,509.3521018015879,cat_16
1625097,2023,10,HCM,1625097,370.16737515206546,cat_17
1625098,2024,11,HN,1625098,96.03130845790997,cat_18
1625099,2025,12,DN,1625099,951.7481361557891,cat_19
1625100,2023,1,HCM,1625100,631.7992401747795,cat_0
1625101,2024,2,HCM,1625101,30.331448310522035,cat_1
1625102,2025,3,HN,1625102,20.324410108712556,cat_2
1625103,2023,4,CT,1625103,926.8979441631894,cat_3
1625104,2024,5,HCM,1625104,903.3119178447769,cat_4
1625105,2025,6,HCM,1625105,24.827935851450267,cat_5
